Departure Time,NDO,Route,Sector,Carrier,Fare,Forecast,Flight No,Departure Hour
01-04-2023,0,BOMDEL,BOMDEL,AA,277,0.83,9876,10:30
02-04-2023,1,BOMDEL,BOMDEL,AA,277,0.78,9876,10:30
03-04-2023,2,BOMDEL,BOMDEL,AA,295,0.95,9876,10:30
04-04-2023,3,BOMDEL,BOMDEL,AA,295,1.03,9876,10:30
05-04-2023,4,BOMDEL,BOMDEL,AA,325,1.05,9876,10:30
06-04-2023,5,BOMDEL,BOMDEL,AA,277,0.93,9876,10:30
07-04-2023,6,BOMDEL,BOMDEL,AA,284,0.87,9876,10:30
08-04-2023,7,BOMDEL,BOMDEL,AA,290,0.75,9876,10:30
09-04-2023,8,BOMDEL,BOMDEL,AA,263,0.93,9876,10:30
10-04-2023,9,BOMDEL,BOMDEL,AA,231,0.83,9876,10:30
11-04-2023,10,BOMDEL,BOMDEL,AA,231,0.73,9876,10:30
12-04-2023,11,BOMDEL,BOMDEL,AA,231,0.67,9876,10:30
13-04-2023,12,BOMDEL,BOMDEL,AA,254,0.95,9876,10:30
14-04-2023,13,BOMDEL,BOMDEL,AA,271,1.17,9876,10:30
15-04-2023,14,BOMDEL,BOMDEL,AA,231,0.78,9876,10:30
16-04-2023,15,BOMDEL,BOMDEL,AA,254,0.95,9876,10:30
17-04-2023,16,BOMDEL,BOMDEL,AA,162,0.84,9876,10:30
18-04-2023,17,BOMDEL,BOMDEL,AA,162,0.77,9876,10:30
19-04-2023,18,BOMDEL,BOMDEL,AA,162,0.66,9876,10:30
20-04-2023,19,BOMDEL,BOMDEL,AA,191,0.95,9876,10:30
21-04-2023,20,BOMDEL,BOMDEL,AA,204,0.99,9876,10:30
22-04-2023,21,BOMDEL,BOMDEL,AA,162,0.65,9876,10:30
23-04-2023,22,BOMDEL,BOMDEL,AA,162,0.58,9876,10:30
24-04-2023,23,BOMDEL,BOMDEL,AA,162,0.5,9876,10:30
25-04-2023,24,BOMDEL,BOMDEL,AA,177,0.84,9876,10:30
26-04-2023,25,BOMDEL,BOMDEL,AA,162,0.72,9876,10:30
27-04-2023,26,BOMDEL,BOMDEL,AA,210,0.95,9876,10:30
28-04-2023,27,BOMDEL,BOMDEL,AA,162,0.73,9876,10:30
29-04-2023,28,BOMDEL,BOMDEL,AA,162,0.79,9876,10:30
30-04-2023,29,BOMDEL,BOMDEL,AA,210,1.09,9876,10:30
01-05-2023,30,BOMDEL,BOMDEL,AA,219,1.19,9876,10:30
02-05-2023,31,BOMDEL,BOMDEL,AA,132,0.77,9876,10:30
03-05-2023,32,BOMDEL,BOMDEL,AA,143,0.93,9876,10:30
04-05-2023,33,BOMDEL,BOMDEL,AA,162,1.2,9876,10:30
05-05-2023,34,BOMDEL,BOMDEL,AA,162,1.18,9876,10:30
06-05-2023,35,BOMDEL,BOMDEL,AA,104,0.83,9876,10:30
07-05-2023,36,BOMDEL,BOMDEL,AA,104,0.78,9876,10:30
08-05-2023,37,BOMDEL,BOMDEL,AA,150,1.04,9876,10:30
09-05-2023,38,BOMDEL,BOMDEL,AA,125,0.77,9876,10:30
10-05-2023,39,BOMDEL,BOMDEL,AA,150,0.88,9876,10:30
11-05-2023,40,BOMDEL,BOMDEL,AA,112,0.74,9876,10:30
12-05-2023,41,BOMDEL,BOMDEL,AA,104,0.63,9876,10:30
13-05-2023,42,BOMDEL,BOMDEL,AA,104,0.61,9876,10:30
14-05-2023,43,BOMDEL,BOMDEL,AA,104,0.5,9876,10:30
15-05-2023,44,BOMDEL,BOMDEL,AA,112,0.62,9876,10:30
16-05-2023,45,BOMDEL,BOMDEL,AA,143,1.18,9876,10:30
17-05-2023,46,BOMDEL,BOMDEL,AA,112,0.82,9876,10:30
18-05-2023,47,BOMDEL,BOMDEL,AA,162,0.95,9876,10:30
19-05-2023,48,BOMDEL,BOMDEL,AA,104,0.74,9876,10:30
20-05-2023,49,BOMDEL,BOMDEL,AA,112,0.71,9876,10:30
21-05-2023,50,BOMDEL,BOMDEL,AA,162,0.95,9876,10:30
22-05-2023,51,BOMDEL,BOMDEL,AA,104,0.76,9876,10:30
23-05-2023,52,BOMDEL,BOMDEL,AA,112,0.64,9876,10:30
24-05-2023,53,BOMDEL,BOMDEL,AA,104,0.56,9876,10:30
25-05-2023,54,BOMDEL,BOMDEL,AA,104,0.48,9876,10:30
26-05-2023,55,BOMDEL,BOMDEL,AA,112,0.73,9876,10:30
27-05-2023,56,BOMDEL,BOMDEL,AA,104,0.65,9876,10:30
28-05-2023,57,BOMDEL,BOMDEL,AA,150,1.04,9876,10:30
29-05-2023,58,BOMDEL,BOMDEL,AA,112,0.85,9876,10:30
30-05-2023,59,BOMDEL,BOMDEL,AA,104,0.74,9876,10:30
31-05-2023,60,BOMDEL,BOMDEL,AA,112,0.64,9876,10:30
01-06-2023,61,BOMDEL,BOMDEL,AA,112,0.98,9876,10:30
02-06-2023,62,BOMDEL,BOMDEL,AA,96,0.9,9876,10:30
03-06-2023,63,BOMDEL,BOMDEL,AA,90,1.01,9876,10:30
04-06-2023,64,BOMDEL,BOMDEL,AA,75,0.85,9876,10:30
05-06-2023,65,BOMDEL,BOMDEL,AA,96,1,9876,10:30
06-06-2023,66,BOMDEL,BOMDEL,AA,90,0.9,9876,10:30
07-06-2023,67,BOMDEL,BOMDEL,AA,104,1.1,9876,10:30
08-06-2023,68,BOMDEL,BOMDEL,AA,112,1.15,9876,10:30
09-06-2023,69,BOMDEL,BOMDEL,AA,75,0.85,9876,10:30
10-06-2023,70,BOMDEL,BOMDEL,AA,96,0.9,9876,10:30
11-06-2023,71,BOMDEL,BOMDEL,AA,75,0.76,9876,10:30
12-06-2023,72,BOMDEL,BOMDEL,AA,75,0.67,9876,10:30
13-06-2023,73,BOMDEL,BOMDEL,AA,104,0.95,9876,10:30
14-06-2023,74,BOMDEL,BOMDEL,AA,75,0.78,9876,10:30
15-06-2023,75,BOMDEL,BOMDEL,AA,79,0.65,9876,10:30
16-06-2023,76,BOMDEL,BOMDEL,AA,79,0.54,9876,10:30
17-06-2023,77,BOMDEL,BOMDEL,AA,125,0.95,9876,10:30
18-06-2023,78,BOMDEL,BOMDEL,AA,84,0.88,9876,10:30
19-06-2023,79,BOMDEL,BOMDEL,AA,96,1.12,9876,10:30
20-06-2023,80,BOMDEL,BOMDEL,AA,75,0.88,9876,10:30
21-06-2023,81,BOMDEL,BOMDEL,AA,90,0.93,9876,10:30
22-06-2023,82,BOMDEL,BOMDEL,AA,84,0.86,9876,10:30
23-06-2023,83,BOMDEL,BOMDEL,AA,84,0.84,9876,10:30
24-06-2023,84,BOMDEL,BOMDEL,AA,79,0.78,9876,10:30
25-06-2023,85,BOMDEL,BOMDEL,AA,84,0.83,9876,10:30
26-06-2023,86,BOMDEL,BOMDEL,AA,75,0.76,9876,10:30
27-06-2023,87,BOMDEL,BOMDEL,AA,112,1.1,9876,10:30
28-06-2023,88,BOMDEL,BOMDEL,AA,112,0.95,9876,10:30
29-06-2023,89,BOMDEL,BOMDEL,AA,90,0.92,9876,10:30
30-06-2023,90,BOMDEL,BOMDEL,AA,96,1.1,9876,10:30
01-07-2023,91,BOMDEL,BOMDEL,AA,68,0.95,9876,10:30
02-07-2023,92,BOMDEL,BOMDEL,AA,75,1.2,9876,10:30
03-07-2023,93,BOMDEL,BOMDEL,AA,63,0.78,9876,10:30
04-07-2023,94,BOMDEL,BOMDEL,AA,59,0.72,9876,10:30
05-07-2023,95,BOMDEL,BOMDEL,AA,63,0.87,9876,10:30
06-07-2023,96,BOMDEL,BOMDEL,AA,68,1.09,9876,10:30
07-07-2023,97,BOMDEL,BOMDEL,AA,59,0.84,9876,10:30
08-07-2023,98,BOMDEL,BOMDEL,AA,75,1.09,9876,10:30
09-07-2023,99,BOMDEL,BOMDEL,AA,68,0.9,9876,10:30
10-07-2023,100,BOMDEL,BOMDEL,AA,63,0.78,9876,10:30
11-07-2023,101,BOMDEL,BOMDEL,AA,63,0.67,9876,10:30
12-07-2023,102,BOMDEL,BOMDEL,AA,63,0.69,9876,10:30
13-07-2023,103,BOMDEL,BOMDEL,AA,63,0.64,9876,10:30
14-07-2023,104,BOMDEL,BOMDEL,AA,63,0.7,9876,10:30
15-07-2023,105,BOMDEL,BOMDEL,AA,63,0.82,9876,10:30
16-07-2023,106,BOMDEL,BOMDEL,AA,68,0.92,9876,10:30
17-07-2023,107,BOMDEL,BOMDEL,AA,59,0.76,9876,10:30
18-07-2023,108,BOMDEL,BOMDEL,AA,59,0.78,9876,10:30
19-07-2023,109,BOMDEL,BOMDEL,AA,68,0.84,9876,10:30
20-07-2023,110,BOMDEL,BOMDEL,AA,59,0.72,9876,10:30
21-07-2023,111,BOMDEL,BOMDEL,AA,63,0.67,9876,10:30
22-07-2023,112,BOMDEL,BOMDEL,AA,68,0.95,9876,10:30
23-07-2023,113,BOMDEL,BOMDEL,AA,59,0.78,9876,10:30
24-07-2023,114,BOMDEL,BOMDEL,AA,59,0.65,9876,10:30
25-07-2023,115,BOMDEL,BOMDEL,AA,79,0.91,9876,10:30
26-07-2023,116,BOMDEL,BOMDEL,AA,68,0.68,9876,10:30
27-07-2023,117,BOMDEL,BOMDEL,AA,68,0.95,9876,10:30
28-07-2023,118,BOMDEL,BOMDEL,AA,68,0.94,9876,10:30
29-07-2023,119,BOMDEL,BOMDEL,AA,59,0.78,9876,10:30
30-07-2023,120,BOMDEL,BOMDEL,AA,59,0.72,9876,10:30
31-07-2023,121,BOMDEL,BOMDEL,AA,48,0.67,9876,10:30
01-08-2023,122,BOMDEL,BOMDEL,AA,53,0.92,9876,10:30
02-08-2023,123,BOMDEL,BOMDEL,AA,48,0.78,9876,10:30
03-08-2023,124,BOMDEL,BOMDEL,AA,48,0.67,9876,10:30
04-08-2023,125,BOMDEL,BOMDEL,AA,48,0.64,9876,10:30
05-08-2023,126,BOMDEL,BOMDEL,AA,41,0.67,9876,10:30
06-08-2023,127,BOMDEL,BOMDEL,AA,53,0.84,9876,10:30
07-08-2023,128,BOMDEL,BOMDEL,AA,41,0.69,9876,10:30
08-08-2023,129,BOMDEL,BOMDEL,AA,53,0.95,9876,10:30
09-08-2023,130,BOMDEL,BOMDEL,AA,41,0.79,9876,10:30
10-08-2023,131,BOMDEL,BOMDEL,AA,53,1.07,9876,10:30
